x,y,MIN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,MAX_REL_HUMIDITY_FLAG,LOCAL_DAY,TOTAL_RAIN,HEATING_DEGREE_DAYS_FLAG,TOTAL_RAIN_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,CLIMATE_IDENTIFIER,LOCAL_DATE,MAX_TEMPERATURE_FLAG,MEAN_TEMPERATURE,MIN_REL_HUMIDITY,SPEED_MAX_GUST_FLAG,LOCAL_YEAR,MIN_TEMPERATURE,TOTAL_PRECIPITATION,PROVINCE_CODE,MAX_REL_HUMIDITY,STATION_NAME,TOTAL_SNOW_FLAG,DIRECTION_MAX_GUST_FLAG,LOCAL_MONTH,ID,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,MIN_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE_FLAG,MAX_TEMPERATURE,TOTAL_SNOW,HEATING_DEGREE_DAYS
-114.00029722222222,51.10944722222222,M,0,,4,,M,M,,M,3031094,2016-08-04 00:00:00,M,,,,2016,,,AB,,CALGARY INT'L CS,M,,8,3031094.2016.8.4,M,0,,,,M,,,
-114.00029722222222,51.10944722222222,,12,,5,,,M,0.1,,3031094,2016-08-05 00:00:00,,18.1,,,2016,12.5,0,AB,,CALGARY INT'L CS,M,,8,3031094.2016.8.5,,44,,,,,23.6,,0
-114.00029722222222,51.10944722222222,,0,,6,,,M,0,,3031094,2016-08-06 00:00:00,,14.4,,,2016,10.7,25.5,AB,,CALGARY INT'L CS,M,,8,3031094.2016.8.6,,0,,,,,18,,3.6
-114.00029722222222,51.10944722222222,,10,,7,,,M,0,,3031094,2016-08-07 00:00:00,,17.8,,,2016,13.4,3.8,AB,,CALGARY INT'L CS,M,,8,3031094.2016.8.7,,32,,,,,22.2,,0.2
-114.00029722222222,51.10944722222222,,33,,8,,,M,0,,3031094,2016-08-08 00:00:00,,16.8,,,2016,12.5,0.4,AB,,CALGARY INT'L CS,M,,8,3031094.2016.8.8,,33,,,,,21.1,,1.2
-114.00029722222222,51.10944722222222,,16,,9,,,M,0,,3031094,2016-08-09 00:00:00,,16.6,,,2016,10.2,0.3,AB,,CALGARY INT'L CS,M,,8,3031094.2016.8.9,,33,,,,,23,,1.4
-114.00029722222222,51.10944722222222,,32,,10,,,M,0,,3031094,2016-08-10 00:00:00,,15.1,,,2016,11.7,4.1,AB,,CALGARY INT'L CS,M,,8,3031094.2016.8.10,,48,,,,,18.5,,2.9
-114.00029722222222,51.10944722222222,,33,,11,,,M,0,,3031094,2016-08-11 00:00:00,,16.7,,,2016,11.4,4.6,AB,,CALGARY INT'L CS,M,,8,3031094.2016.8.11,,50,,,,,22,,1.3
-114.00029722222222,51.10944722222222,,36,,12,,,M,0,,3031094,2016-08-12 00:00:00,,16.7,,,2016,11.9,0.3,AB,,CALGARY INT'L CS,M,,8,3031094.2016.8.12,,33,,,,,21.5,,1.3
-114.00029722222222,51.10944722222222,,36,,13,,,M,0,,3031094,2016-08-13 00:00:00,,17,,,2016,9.2,0.7,AB,,CALGARY INT'L CS,M,,8,3031094.2016.8.13,,56,,,,,24.7,,1
-114.00029722222222,51.10944722222222,,32,,14,,,M,0,,3031094,2016-08-14 00:00:00,,17.4,,,2016,10,3.6,AB,,CALGARY INT'L CS,M,,8,3031094.2016.8.14,,44,,,,,24.7,,0.6
