,Longitude,Latitude,Month,Season,DayofWeek,Workday,Hour,PRECIPITATION,MIN_TEMPERATURE,Target
1320,-113.95637978875986,51.04745733545384,9,Winter,2,Weekday,18,0,-6.6,0
1367,-114.21459468769918,51.14765597689854,12,Summer,1,Weekday,19,0,11.2,0
1050,-114.07659913812796,51.02545681623067,2,Winter,1,Weekday,10,0,-8.6,0
525,-114.1062961,51.07054633,11,Winter,2,Weekday,14,0,-12.8,1
38,-113.96166883134391,51.12524566733837,9,Summer,6,Weekend,0,1,8.2,0
411,-114.089464,50.91370241,5,Winter,1,Weekday,8,0,5.3,1
167,-113.95321953625029,50.892072255584345,8,Summer,3,Weekday,20,0,12.3,0
556,-113.98314889048845,51.01957641109518,3,Summer,5,Weekday,9,0,-8.6,0
1362,-114.05663764138949,51.123370146557725,11,Summer,1,Weekday,19,0,9.1,0
1131,-113.9822378,51.07791037,11,Winter,3,Weekday,9,0,-3.2,1
4,-114.0916374826334,51.03842821902264,11,Winter,2,Weekday,18,1,-3.2,1
373,-114.0861618494128,51.04618783180694,7,Summer,1,Weekday,18,0,13.5,1
1036,-114.18495861071058,51.10233790773019,5,Summer,5,Weekday,16,0,-4.2,0
72,-114.08915364530944,51.1335569562811,9,Summer,4,Weekday,8,0,2.9,1
1223,-114.14746819141858,51.107816251656864,8,Winter,1,Weekday,16,0,-22.4,0
107,-114.14877388845628,51.09370088136596,10,Summer,3,Weekday,15,1,12.0,0
1153,-114.05433788719868,51.107254635658926,3,Winter,4,Weekday,17,1,0.5,0
735,-114.06330940481699,51.12124355307083,8,Summer,6,Weekend,14,1,10.1,0
1281,-114.0846746125126,50.953104759526504,4,Summer,6,Weekend,16,1,11.8,0
1384,-114.13572469251132,50.960629274983916,10,Summer,0,Weekday,23,0,11.9,0
605,-114.0323668,51.04824607,8,Summer,4,Weekday,0,0,10.0,1
146,-114.05887485232317,51.11871273280229,2,Summer,0,Weekday,17,0,9.3,0
1263,-114.1439889003421,51.053127344340346,1,Winter,1,Weekday,8,1,1.1,0
1309,-114.0891536,51.13355696,12,Winter,4,Weekday,16,1,-25.7,1
1069,-113.9498162,51.10671479,1,Winter,2,Weekday,12,1,-8.2,1
1055,-113.9083889201698,50.92444184163557,2,Winter,0,Weekday,9,0,0.2,0
1232,-114.0946892,51.02767737,6,Summer,1,Weekday,0,0,2.8,1
1374,-113.9644497,51.01568381,9,Summer,2,Weekday,0,1,-0.3,1
851,-114.04627048459646,51.106271824201166,10,Summer,6,Weekday,19,0,9.8,0
5,-114.21524450873923,51.07312690125842,12,Summer,4,Weekday,10,1,-6.6,0
1236,-114.0947292,51.07231529,5,Winter,1,Weekday,18,0,8.3,1
1508,-114.0946843,51.03144525,12,Winter,2,Weekday,14,0,-25.2,1
217,-114.08179134402856,51.03781478246516,1,Winter,1,Weekday,11,0,-13.9,1
582,-114.0838496,51.04390675,9,Summer,6,Weekend,1,0,13.2,1
56,-114.06116663455056,51.02327799910219,2,Winter,1,Weekday,18,0,-4.2,0
975,-113.9592698,50.90961003,10,Summer,1,Weekday,16,0,-4.0,1
766,-113.9855097,51.08143154,10,Summer,2,Weekday,20,1,-0.2,1
141,-114.0650065391792,51.06157015818074,6,Summer,1,Weekday,13,0,9.1,1
984,-114.15019090734312,51.16267892422788,10,Summer,2,Weekday,22,0,16.4,0
30,-114.06572815404978,51.04246119942055,10,Summer,5,Weekday,18,0,-0.6,1
1150,-113.9527445,50.88070025,10,Summer,6,Weekend,7,0,-3.0,1
766,-114.24797282423508,51.11614867016412,6,Winter,3,Weekday,19,0,0.4,0
802,-113.97489864974125,51.07709613120063,11,Winter,3,Weekday,15,0,-3.7,0
929,-114.1452815,51.0211429,12,Winter,1,Weekday,18,0,-1.0,1
832,-113.9583839,51.03455141,7,Summer,0,Weekday,17,0,10.3,1
1409,-114.12309482588908,51.0280127764892,11,Summer,2,Weekday,22,0,-18.3,0
37,-114.0929871683149,51.155535779461985,9,Summer,6,Weekend,14,1,8.8,0
1292,-114.0484281,50.96398656,2,Winter,2,Weekday,14,0,-24.1,1
1487,-113.92828201947455,51.01500948409549,9,Winter,3,Weekday,21,0,9.5,0
705,-114.0814566,51.04345329,1,Winter,0,Weekday,19,0,-8.3,1
1301,-114.13982763042253,51.066311785161545,11,Winter,4,Weekday,10,0,-17.4,0
32,-114.24421812610252,51.150920320705914,8,Summer,0,Weekday,15,0,2.7,0
1108,-114.03783563408743,50.95359155893737,12,Summer,2,Weekday,18,0,-2.5,0
913,-114.1284741049043,50.96789427802383,6,Summer,0,Weekday,12,0,-6.5,0
68,-113.98193071622008,51.08559218215903,9,Summer,6,Weekend,5,0,9.6,1
250,-114.15376580838641,51.009068534944895,9,Summer,1,Weekday,22,0,9.5,0
757,-114.0879345619326,50.89700538132656,9,Summer,5,Weekday,18,1,-16.4,0
982,-113.95627106735775,50.922740724052865,12,Winter,3,Weekday,16,0,7.7,0
956,-114.1256173447673,50.94205074399356,9,Summer,6,Weekend,20,1,15.1,0
844,-114.0541088,51.04530342,6,Summer,3,Weekday,14,0,7.7,1
519,-113.9886504,51.0778646,11,Winter,0,Weekday,15,0,0.7,1
604,-114.15948718216701,51.16627746321904,7,Summer,5,Weekday,17,0,-4.0,0
819,-113.96448160197114,51.05885187500631,3,Winter,1,Weekday,13,0,2.0,0
1010,-114.0290229,51.08154993,9,Summer,0,Weekday,14,0,8.5,1
1349,-114.0949983503351,51.045626128134025,1,Winter,4,Weekday,16,0,0.6,0
995,-113.97429937716919,51.03087455467107,10,Summer,0,Weekday,17,0,14.0,0
1431,-114.18697603196973,51.09781911734119,8,Summer,4,Weekday,12,0,7.8,0
1017,-113.99043139668925,50.89289237192386,1,Summer,0,Weekday,12,1,0.6,0
275,-114.115385064622,51.174474040038334,10,Summer,0,Weekday,16,0,1.9,1
887,-114.1291574,51.06695808,3,Winter,0,Weekday,10,1,-0.6,1
474,-114.09471,51.03782418,2,Winter,2,Weekday,15,0,2.4,1
166,-114.2308660338074,51.13858082838264,3,Winter,0,Weekday,8,0,-11.5,1
136,-114.00875727331814,50.98580806207284,6,Summer,2,Weekday,7,0,2.5,0
1008,-113.9814363,51.05914327,9,Summer,0,Weekday,16,0,8.5,1
659,-114.05010108846703,50.91265324772159,10,Summer,6,Weekend,20,1,8.4,0
1378,-114.20256541752886,51.018652131513264,11,Winter,3,Weekday,22,0,-8.2,0
349,-114.14825220543747,51.022351179590125,9,Summer,4,Weekday,14,1,7.2,0
340,-114.07147910086276,51.04768868028355,8,Summer,5,Weekday,2,1,10.5,1
1315,-114.1852331,51.06262955,12,Winter,0,Weekday,7,1,-8.1,1
162,-114.05349247555552,51.04114729684203,3,Winter,4,Weekday,22,0,-7.3,1
12,-113.94316893231769,51.06689778558401,11,Summer,1,Weekday,23,0,1.2,0
45,-114.25271966655163,51.153940346068055,10,Summer,6,Weekend,4,0,7.3,0
1415,-114.0821066,50.90084024,7,Summer,3,Weekday,20,0,10.3,1
1148,-114.01547263838674,50.98850821916709,3,Winter,0,Weekday,11,0,-2.3,0
1,-113.9857984293661,50.929778445592206,1,Winter,1,Weekday,14,0,-19.1,0
913,-113.9801505,51.03773851,1,Winter,5,Weekday,10,1,-3.8,1
1457,-114.1526799,51.08152827,5,Winter,6,Weekend,18,1,3.0,1
555,-113.92606426610652,51.10404984193707,12,Winter,4,Weekday,19,0,-11.4,0
1285,-114.03814771577547,50.92554289978175,11,Summer,1,Weekday,21,0,10.8,0
1290,-114.15586501115492,51.081413032264436,9,Summer,3,Weekday,20,0,12.7,0
1313,-114.0681173,50.96496013,12,Winter,3,Weekday,8,0,-7.0,1
365,-114.0845112497845,51.05424742786059,7,Summer,6,Weekend,12,0,12.0,1
1240,-114.01619638457181,50.863008514360864,10,Summer,6,Weekend,0,1,12.8,0
313,-114.19657855354146,51.15425623588927,9,Summer,3,Weekday,19,0,3.0,1
374,-114.25007011357933,51.15056224165069,8,Summer,1,Weekday,21,0,12.0,0
1242,-114.10502175431137,51.18104456138632,7,Summer,4,Weekday,23,0,10.7,0
300,-113.94335864460732,51.08845160775071,9,Summer,4,Weekday,17,0,8.4,1
930,-114.033792,51.00688989,12,Winter,3,Weekday,3,0,-14.0,1
344,-114.07148204062314,51.037830532286776,8,Summer,6,Weekend,1,1,14.3,1
84,-113.96180302175858,50.91955445668318,1,Summer,3,Weekday,15,0,-2.8,0
1340,-114.0625118,51.06880005,11,Winter,0,Weekday,8,0,-19.6,1
1471,-114.03514280547101,50.99170576064706,9,Winter,0,Weekday,11,0,-3.4,0
1066,-114.05968817213784,51.108296564722174,11,Winter,6,Weekend,7,0,3.8,0
934,-113.952166,50.91302549,12,Winter,0,Weekday,22,1,-8.5,1
